X,CH1,
Second,Volt,
-1.1999999e-04,-8.00000e-02,
-1.1959999e-04,0.00000e+00,
-1.1919999e-04,8.00000e-02,
-1.1880000e-04,-8.00000e-02,
-1.1839999e-04,-8.00000e-02,
-1.1800000e-04,8.00000e-02,
-1.1759999e-04,-8.00000e-02,
-1.1719999e-04,0.00000e+00,
-1.1679999e-04,-8.00000e-02,
-1.1639999e-04,0.00000e+00,
-1.1600000e-04,-8.00000e-02,
-1.1559999e-04,0.00000e+00,
-1.1520000e-04,-8.00000e-02,
-1.1479999e-04,0.00000e+00,
-1.1439999e-04,0.00000e+00,
-1.1399999e-04,-8.00000e-02,
-1.1359999e-04,0.00000e+00,
-1.1320000e-04,-8.00000e-02,
-1.1279999e-04,-8.00000e-02,
-1.1239999e-04,0.00000e+00,
-1.1199999e-04,-8.00000e-02,
-1.1159999e-04,0.00000e+00,
-1.1120000e-04,-8.00000e-02,
-1.1079999e-04,8.00000e-02,
-1.1040000e-04,0.00000e+00,
-1.0999999e-04,-8.00000e-02,
-1.0959999e-04,-8.00000e-02,
-1.0919999e-04,0.00000e+00,
-1.0879999e-04,-8.00000e-02,
-1.0840000e-04,0.00000e+00,
-1.0799999e-04,-8.00000e-02,
-1.0760000e-04,0.00000e+00,
-1.0719999e-04,0.00000e+00,
-1.0679999e-04,-1.60000e-01,
-1.0640000e-04,0.00000e+00,
-1.0599999e-04,-8.00000e-02,
-1.0560000e-04,0.00000e+00,
-1.0519999e-04,-8.00000e-02,
-1.0479999e-04,-8.00000e-02,
-1.0439999e-04,0.00000e+00,
-1.0399999e-04,-8.00000e-02,
-1.0360000e-04,0.00000e+00,
-1.0319999e-04,-1.60000e-01,
-1.0280000e-04,8.00000e-02,
-1.0239999e-04,2.40000e-01,
-1.0199999e-04,9.60000e-01,
-1.0160000e-04,1.12000e+00,
-1.0119999e-04,1.76000e+00,
-1.0080000e-04,1.76000e+00,
-1.0039999e-04,2.64000e+00,
-9.9999997e-05,2.64000e+00,
-9.9599994e-05,3.20000e+00,
-9.9199991e-05,3.12000e+00,
-9.8799996e-05,3.28000e+00,
-9.8399993e-05,3.28000e+00,
-9.7999997e-05,3.20000e+00,
-9.7599994e-05,3.28000e+00,
-9.7199991e-05,3.20000e+00,
-9.6799995e-05,3.28000e+00,
-9.6399992e-05,3.20000e+00,
-9.5999996e-05,3.28000e+00,
-9.5599993e-05,3.20000e+00,
-9.5199997e-05,3.36000e+00,
-9.4799994e-05,3.12000e+00,
-9.4399991e-05,3.28000e+00,
-9.3999995e-05,3.20000e+00,
-9.3599992e-05,3.28000e+00,
-9.3199997e-05,3.20000e+00,
-9.2799994e-05,3.28000e+00,
-9.2399998e-05,3.20000e+00,
-9.1999995e-05,3.28000e+00,
-9.1599992e-05,3.20000e+00,
-9.1199996e-05,3.36000e+00,
-9.0799993e-05,3.20000e+00,
-9.0399997e-05,3.28000e+00,
-8.9999994e-05,3.12000e+00,
-8.9599998e-05,3.28000e+00,
-8.9199995e-05,3.20000e+00,
-8.8799992e-05,3.28000e+00,
-8.8399996e-05,3.28000e+00,
-8.7999993e-05,3.28000e+00,
-8.7599998e-05,3.12000e+00,
-8.7199995e-05,3.28000e+00,
-8.6799992e-05,3.12000e+00,
-8.6399996e-05,3.28000e+00,
-8.5999993e-05,3.20000e+00,
-8.5599997e-05,3.28000e+00,
-8.5199994e-05,3.20000e+00,
-8.4799998e-05,3.20000e+00,
-8.4399995e-05,3.28000e+00,
-8.3999992e-05,3.28000e+00,
-8.3599996e-05,3.12000e+00,
-8.3199993e-05,3.28000e+00,
-8.2799997e-05,3.12000e+00,
-8.2399994e-05,3.28000e+00,
-8.1999999e-05,3.12000e+00,
-8.1599996e-05,3.28000e+00,
-8.1199993e-05,3.20000e+00,
-8.0799997e-05,3.28000e+00,
-8.0399994e-05,3.20000e+00,
-7.9999998e-05,3.12000e+00,
-7.9599995e-05,3.28000e+00,
-7.9199992e-05,3.28000e+00,
-7.8799996e-05,3.20000e+00,
-7.8399993e-05,3.28000e+00,
-7.7999997e-05,3.20000e+00,
-7.7599994e-05,3.28000e+00,
-7.7199998e-05,2.80000e+00,
-7.6799995e-05,2.72000e+00,
-7.6399992e-05,1.92000e+00,
-7.5999997e-05,1.92000e+00,
-7.5599994e-05,1.12000e+00,
-7.5199998e-05,1.12000e+00,
-7.4799995e-05,3.20000e-01,
-7.4399999e-05,3.20000e-01,
-7.3999996e-05,-8.00000e-02,
-7.3599993e-05,-8.00000e-02,
-7.3199997e-05,0.00000e+00,
-7.2799994e-05,0.00000e+00,
-7.2399998e-05,-8.00000e-02,
-7.1999995e-05,0.00000e+00,
-7.1599992e-05,-1.60000e-01,
-7.1199996e-05,-8.00000e-02,
-7.0799993e-05,0.00000e+00,
-7.0399998e-05,0.00000e+00,
-6.9999995e-05,-8.00000e-02,
-6.9599999e-05,-8.00000e-02,
-6.9199996e-05,-8.00000e-02,
-6.8799993e-05,-8.00000e-02,
-6.8399997e-05,-8.00000e-02,
-6.7999994e-05,-8.00000e-02,
-6.7599998e-05,0.00000e+00,
-6.7199995e-05,0.00000e+00,
-6.6799999e-05,-8.00000e-02,
-6.6399996e-05,0.00000e+00,
-6.5999993e-05,-8.00000e-02,
-6.5599997e-05,-8.00000e-02,
-6.5199994e-05,0.00000e+00,
-6.4799999e-05,-8.00000e-02,
-6.4399996e-05,0.00000e+00,
-6.4000000e-05,8.00000e-02,
-6.3599997e-05,-1.60000e-01,
-6.3199994e-05,0.00000e+00,
-6.2799998e-05,-8.00000e-02,
-6.2399995e-05,0.00000e+00,
-6.1999999e-05,-8.00000e-02,
-6.1599996e-05,-8.00000e-02,
-6.1199993e-05,0.00000e+00,
-6.0799997e-05,-8.00000e-02,
-6.0399998e-05,0.00000e+00,
-5.9999995e-05,-8.00000e-02,
-5.9599995e-05,0.00000e+00,
-5.9199996e-05,-8.00000e-02,
-5.8799997e-05,0.00000e+00,
-5.8399997e-05,0.00000e+00,
-5.7999998e-05,-8.00000e-02,
-5.7599998e-05,0.00000e+00,
-5.7199995e-05,-8.00000e-02,
-5.6799996e-05,-8.00000e-02,
-5.6399997e-05,0.00000e+00,
-5.5999997e-05,-8.00000e-02,
-5.5599998e-05,0.00000e+00,
-5.5199998e-05,0.00000e+00,
-5.4799995e-05,-8.00000e-02,
-5.4399996e-05,-8.00000e-02,
-5.3999996e-05,0.00000e+00,
-5.3599997e-05,-8.00000e-02,
-5.3199998e-05,0.00000e+00,
-5.2799998e-05,-8.00000e-02,
-5.2399995e-05,0.00000e+00,
-5.1999996e-05,-8.00000e-02,
-5.1599996e-05,8.00000e-02,
-5.1199997e-05,2.40000e-01,
-5.0799998e-05,9.60000e-01,
-5.0399998e-05,1.12000e+00,
