X,CH1,
Second,Volt,
-3.8399998e-02,5.60000e-01,
-3.8299996e-02,6.40000e-01,
-3.8199998e-02,5.60000e-01,
-3.8099997e-02,6.40000e-01,
-3.7999995e-02,6.40000e-01,
-3.7899997e-02,3.20000e-01,
-3.7799995e-02,4.80000e-01,
-3.7699997e-02,3.20000e-01,
-3.7599996e-02,3.20000e-01,
-3.7499998e-02,4.80000e-01,
-3.7399996e-02,4.80000e-01,
-3.7299998e-02,3.20000e-01,
-3.7199996e-02,3.20000e-01,
-3.7099998e-02,4.80000e-01,
-3.6999997e-02,2.40000e-01,
-3.6899995e-02,4.00000e-01,
-3.6799997e-02,4.00000e-01,
-3.6699995e-02,3.20000e-01,
-3.6599997e-02,3.20000e-01,
-3.6499996e-02,3.20000e-01,
-3.6399998e-02,3.20000e-01,
-3.6299996e-02,4.00000e-01,
-3.6199998e-02,3.20000e-01,
-3.6099996e-02,4.00000e-01,
-3.5999998e-02,4.00000e-01,
-3.5899997e-02,4.00000e-01,
-3.5799999e-02,5.60000e-01,
-3.5699997e-02,3.20000e-01,
-3.5599995e-02,4.00000e-01,
-3.5499997e-02,4.00000e-01,
-3.5399996e-02,4.00000e-01,
-3.5299998e-02,6.40000e-01,
-3.5199996e-02,6.40000e-01,
-3.5099998e-02,8.00000e-01,
-3.4999996e-02,6.40000e-01,
-3.4899998e-02,6.40000e-01,
-3.4799997e-02,6.40000e-01,
-3.4699999e-02,6.40000e-01,
-3.4599997e-02,6.40000e-01,
-3.4499995e-02,9.60000e-01,
-3.4399997e-02,9.60000e-01,
-3.4299996e-02,9.60000e-01,
-3.4199998e-02,9.60000e-01,
-3.4099996e-02,1.04000e+00,
-3.3999998e-02,9.60000e-01,
-3.3899996e-02,1.12000e+00,
-3.3799998e-02,9.60000e-01,
-3.3699997e-02,1.04000e+00,
-3.3599999e-02,9.60000e-01,
-3.3499997e-02,1.52000e+00,
-3.3399995e-02,1.44000e+00,
-3.3299997e-02,1.52000e+00,
-3.3199996e-02,1.44000e+00,
-3.3099998e-02,1.52000e+00,
-3.2999996e-02,1.44000e+00,
-3.2899998e-02,1.52000e+00,
-3.2799996e-02,1.44000e+00,
-3.2699998e-02,2.00000e+00,
-3.2599997e-02,2.00000e+00,
-3.2499999e-02,1.92000e+00,
-3.2399997e-02,1.84000e+00,
-3.2299999e-02,2.00000e+00,
-3.2199997e-02,1.92000e+00,
-3.2099996e-02,2.00000e+00,
-3.1999998e-02,1.92000e+00,
-3.1899996e-02,1.84000e+00,
-3.1799998e-02,1.84000e+00,
-3.1699996e-02,2.40000e+00,
-3.1599998e-02,2.40000e+00,
-3.1499997e-02,2.32000e+00,
-3.1399999e-02,2.40000e+00,
-3.1299997e-02,2.32000e+00,
-3.1199999e-02,2.32000e+00,
-3.1099999e-02,2.40000e+00,
-3.0999998e-02,2.32000e+00,
-3.0899998e-02,2.88000e+00,
-3.0799998e-02,2.88000e+00,
-3.0699998e-02,2.80000e+00,
-3.0599998e-02,2.80000e+00,
-3.0499998e-02,2.88000e+00,
-3.0399999e-02,2.88000e+00,
-3.0299999e-02,2.72000e+00,
-3.0199999e-02,2.88000e+00,
-3.0099999e-02,2.72000e+00,
-2.9999999e-02,3.12000e+00,
-2.9899998e-02,3.04000e+00,
-2.9799998e-02,3.12000e+00,
-2.9699998e-02,3.04000e+00,
-2.9599998e-02,3.04000e+00,
-2.9499998e-02,3.12000e+00,
-2.9399998e-02,3.04000e+00,
-2.9299999e-02,3.12000e+00,
-2.9199999e-02,3.04000e+00,
-2.9099999e-02,3.28000e+00,
-2.8999999e-02,3.28000e+00,
-2.8899999e-02,3.20000e+00,
-2.8800000e-02,3.20000e+00,
-2.8699998e-02,3.12000e+00,
-2.8599998e-02,3.20000e+00,
-2.8499998e-02,3.20000e+00,
-2.8399998e-02,3.12000e+00,
-2.8299998e-02,3.28000e+00,
-2.8199999e-02,3.20000e+00,
-2.8099999e-02,3.28000e+00,
-2.7999999e-02,3.20000e+00,
-2.7899999e-02,3.28000e+00,
-2.7799999e-02,3.20000e+00,
-2.7700000e-02,3.12000e+00,
-2.7600000e-02,3.20000e+00,
-2.7499998e-02,3.12000e+00,
-2.7399998e-02,3.20000e+00,
-2.7299998e-02,2.96000e+00,
-2.7199998e-02,3.12000e+00,
-2.7099999e-02,2.96000e+00,
-2.6999999e-02,3.04000e+00,
-2.6899999e-02,2.96000e+00,
-2.6799999e-02,3.04000e+00,
-2.6699999e-02,3.04000e+00,
-2.6600000e-02,3.04000e+00,
-2.6500000e-02,2.72000e+00,
